,date,slice id,state,filename,file key
121,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000002 f-I curve +20~+300
122,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000003 f-I curve +20~+300
123,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000004 f-I curve +20~+300
124,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000006 f-I curve +20~+300
125,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000007 f-I curve +20~+300
126,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000008 f-I curve +20~+300
127,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000009 f-I curve +20~+300
128,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000005 f-I curve +20~+300
129,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000011 f-I curve +20~+300
130,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000012 f-I curve +20~+300
131,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000010 f-I curve +20~+300
132,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000001 f-I curve +20~+300
133,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000002 f-I curve +20~+300
134,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000003 f-I curve +20~+300
135,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000004 f-I curve +20~+300
136,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000005 f-I curve +20~+300
137,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000006 f-I curve +20~+300
138,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000007 f-I curve +20~+300
139,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000008 f-I curve +20~+300
140,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000009 f-I curve +20~+300
141,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000010 f-I curve +20~+300
142,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000011 f-I curve +20~+300
143,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000012 f-I curve +20~+300
144,2018-07-25,Slice4c1,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice4c1 fI.hdf5,000013 f-I curve +20~+300
145,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000001 f-I curve +20~+300
146,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000002 f-I curve +20~+300
147,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000003 f-I curve +20~+300
148,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000004 f-I curve +20~+300
149,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000005 f-I curve +20~+300
150,2018-08-03,Slice1c3,6ohda,dataset/2018-08-03_NS/2018-08-03 Slice1c3 fI.hdf5,000006 f-I curve +20~+300
151,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000001 f-I curve +20~+300
152,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000002 f-I curve +20~+300
153,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000003 f-I curve +20~+300
154,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000004 f-I curve +20~+300
155,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000005 f-I curve +20~+300
156,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000006 f-I curve +20~+300
157,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000007 f-I curve +20~+300
158,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000008 f-I curve +20~+300
159,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000009 f-I curve +20~+300
160,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000010 f-I curve +20~+300
161,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000011 f-I curve +20~+300
162,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000012 f-I curve +20~+300
163,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000013 f-I curve +20~+300
164,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000014 f-I curve +20~+300
165,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000015 f-I curve +20~+300
166,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000016 f-I curve +20~+300
167,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000017 f-I curve +20~+300
168,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000018 f-I curve +20~+300
169,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000019 f-I curve +20~+300
170,2018-02-21,Slice1c2,control,dataset/2018-02-21_NS/2018-02-21 Slice1c2fI_2.hdf5,000020 f-I curve +20~+300
